,emotion,accuracy
0,admiration,0.18974358974358974
1,amusement,0.45149253731343286
2,anger,0.703125
3,anxiety,0.2934272300469484
4,awe,0.21446078431372548
5,being_moved,0.335978835978836
6,boredom,0.5299479166666666
7,concentration,0.569047619047619
8,confusion,0.4701492537313433
9,contempt,0.4371794871794872
10,determination,0.5791666666666667
11,disappointment,0.3458904109589041
12,disgust,0.5405405405405406
13,distress_pain,0.2840909090909091
14,doubt,0.29365079365079366
15,elevation_rejoicing,0.08585858585858586
16,embarrassment,0.26515151515151514
17,envy,0.12666666666666668
18,excitement_expectation,0.5066666666666667
19,fear,0.4988584474885845
20,gratitude,0.31094527363184077
21,guilt,0.1865079365079365
22,happiness_joy,0.3619791666666667
23,hope,0.18835616438356165
24,inspiration,0.17164179104477612
25,interest_curiosity,0.35945273631840796
26,negative_surprise,0.3880597014925373
27,neutral,0.6059322033898306
28,nostalgia,0.39135021097046413
29,peacefulness_serenity,0.3684895833333333
30,positive_surprise,0.46153846153846156
31,pride,0.2513020833333333
32,regret,0.22065727699530516
33,rejection,0.17632850241545894
34,relief,0.4482758620689655
35,sadness,0.4674479166666667
36,sarcasm,0.4756944444444444
37,satisfaction_contentment,0.2831050228310502
38,schadenfreude,0.5301932367149759
39,sensory_pleasure,0.33217592592592593
40,sexual_lust,0.3869047619047619
41,shame,0.19031531531531531
42,tenderness,0.3971354166666667
43,triumph_achievement,0.2976190476190476
