,filename,emotion,emotion_id,intensity_level,mode,coverage,n_correct_answers,accuracy
20,A102_bor_p_2,boredom,26,2,p,4,4,1.0
21,A102_bor_p_3,boredom,26,3,p,6,5,0.8333333333333334
22,A102_bor_v_2,boredom,26,2,v,7,3,0.42857142857142855
23,A102_bor_v_3,boredom,26,3,v,6,5,0.8333333333333334
24,A102_conc_p_2,concentration,27,2,p,6,2,0.3333333333333333
25,A102_conc_p_3,concentration,27,3,p,6,4,0.6666666666666666
26,A102_conc_v_2,concentration,27,2,v,8,4,0.5
27,A102_conc_v_3,concentration,27,3,v,6,4,0.6666666666666666
28,A102_conf_p_2,confusion,1,2,p,7,2,0.2857142857142857
29,A102_conf_p_3,confusion,1,3,p,8,4,0.5
30,A102_conf_v_2,confusion,1,2,v,8,4,0.5
31,A102_conf_v_3,confusion,1,3,v,7,3,0.42857142857142855
36,A102_det_p_2,determination,2,2,p,5,2,0.4
37,A102_det_p_3,determination,2,3,p,5,1,0.2
38,A102_det_v_2,determination,2,2,v,7,3,0.42857142857142855
39,A102_det_v_3,determination,2,3,v,5,5,1.0
40,A102_disa_p_2,disappointment,37,2,p,9,2,0.2222222222222222
41,A102_disa_p_3,disappointment,37,3,p,8,2,0.25
42,A102_disa_v_2,disappointment,37,2,v,9,5,0.5555555555555556
43,A102_disa_v_3,disappointment,37,3,v,8,4,0.5
52,A102_dou_p_2,doubt,3,2,p,7,2,0.2857142857142857
53,A102_dou_p_3,doubt,3,3,p,8,2,0.25
54,A102_dou_v_2,doubt,3,2,v,8,2,0.25
55,A102_dou_v_3,doubt,3,3,v,6,1,0.16666666666666666
76,A102_gra_p_2,gratitude,7,2,p,9,3,0.3333333333333333
77,A102_gra_p_3,gratitude,7,3,p,8,5,0.625
78,A102_gra_v_2,gratitude,7,2,v,5,2,0.4
79,A102_gra_v_3,gratitude,7,3,v,7,5,0.7142857142857143
96,A102_int_p_2,interest_curiosity,29,2,p,8,3,0.375
97,A102_int_p_3,interest_curiosity,29,3,p,11,4,0.36363636363636365
98,A102_int_v_2,interest_curiosity,29,2,v,9,2,0.2222222222222222
99,A102_int_v_3,interest_curiosity,29,3,v,6,2,0.3333333333333333
200,A200_bor_p_2,boredom,26,2,p,8,5,0.625
201,A200_bor_p_3,boredom,26,3,p,8,4,0.5
202,A200_bor_v_2,boredom,26,2,v,7,3,0.42857142857142855
203,A200_bor_v_3,boredom,26,3,v,9,7,0.7777777777777778
204,A200_conc_p_2,concentration,27,2,p,8,7,0.875
205,A200_conc_p_3,concentration,27,3,p,8,6,0.75
206,A200_conc_v_2,concentration,27,2,v,7,4,0.5714285714285714
207,A200_conc_v_3,concentration,27,3,v,9,5,0.5555555555555556
208,A200_conf_p_2,confusion,1,2,p,6,3,0.5
209,A200_conf_p_3,confusion,1,3,p,6,2,0.3333333333333333
210,A200_conf_v_2,confusion,1,2,v,11,6,0.5454545454545454
211,A200_conf_v_3,confusion,1,3,v,8,2,0.25
216,A200_det_p_2,determination,2,2,p,6,2,0.3333333333333333
217,A200_det_p_3,determination,2,3,p,7,4,0.5714285714285714
218,A200_det_v_2,determination,2,2,v,7,3,0.42857142857142855
219,A200_det_v_3,determination,2,3,v,8,4,0.5
220,A200_disa_p_2,disappointment,37,2,p,8,3,0.375
221,A200_disa_p_3,disappointment,37,3,p,9,4,0.4444444444444444
222,A200_disa_v_2,disappointment,37,2,v,9,1,0.1111111111111111
223,A200_disa_v_3,disappointment,37,3,v,8,1,0.125
232,A200_dou_p_2,doubt,3,2,p,8,2,0.25
233,A200_dou_p_3,doubt,3,3,p,5,2,0.4
234,A200_dou_v_2,doubt,3,2,v,8,3,0.375
