Filename,Peak_dB
A200_anx_v_2.mp4,-56.94531882188098
A220_bor_v_3.mp4,-56.10480254640997
A438_reg_v_3.mp4,-61.3648068365914
A405_ple_v_3.mp4,-50.88495036620722
A102_tri_v_2.mp4,-58.40888259659066
A438_rel_v_2.mp4,-59.48630953168735
A55_emb_v_3_ver1.mp4,-79.11968674897635
A91_conf_p_2.mp4,-50.68196563052416
A64_ele_v_2.mp4,-66.80702857342588
A438_adm_p_3.mp4,-55.561544569707344
A407_mov_p_2.mp4,-49.834807440020164
A207_pea_p_3.mp4,-55.733887282383556
A424_sex_p_2.mp4,-57.70961167380416
A67_emb_v_3.mp4,-51.24892537075573
A426_gra_p_3.mp4,-57.38123547573396
A67_ins_p_2.mp4,-55.964992369434285
A417_scha_p_2.mp4,-53.639964270117005
A424_pos_sur_p_2.mp4,-43.469949998418606
A425_disg_p_3.mp4,-59.65148072294606
A332_rel_v_2.mp4,-64.16815814786167
A438_adm_v_3.mp4,-63.306523888989645
A72_fea_v_2.mp4,-45.69827019104111
A424_dist_p_3.mp4,-39.94600843119996
A437_neu_sit4_p.mp4,-58.357076053178716
A426_bor_p_2.mp4,-65.87212344089856
A425_scha_v_2.mp4,-47.83235552496586
A200_amu_p_3.mp4,-41.86301099166917
A435_tri_v_2.mp4,-55.6816540361417
A410_scha_v_2.mp4,-60.284241879885315
A72_sar_v_2.mp4,-51.95946819288305
A426_fea_v_2.mp4,-40.59093095208162
A303_sat_p_3.mp4,-50.90383782326201
A323_pri_v_3.mp4,-67.90158509179724
A67_neg_sur_p_3.mp4,-41.728521623126824
A426_ins_v_3.mp4,-52.890068520367784
A91_env_p_3.mp4,-47.53291440970977
A334_neg_sur_v_3.mp4,-69.40670247286384
A424_sar_p_2.mp4,-49.53011512609119
A64_det_p_2.mp4,-40.53917297280609
A220_pea_p_2.mp4,-47.71280589916017
A332_dist_p_2.mp4,-49.98326844733941
A327_env_v_3.mp4,-77.83884157628086
A72_pri_p_3.mp4,-38.034281163793025
A323_sad_v_3.mp4,-55.19208755483872
A64_tri_p_3.mp4,-39.59837411242673
A72_bor_v_3.mp4,-29.166706172601838
A437_dist_p_2.mp4,-60.94627387498828
A72_rej_v_2.mp4,-54.6540777592426
A426_pri_p_2.mp4,-54.024551331025194
A207_conc_v_2.mp4,-59.634963195454205
A426_env_v_3.mp4,-65.12681964397314
A424_anx_p_3.mp4,-45.089724577047285
A64_tri_p_2.mp4,-40.443857667343636
A438_adm_v_2.mp4,-63.787448958046944
A323_neu_sit4_p.mp4,-55.873479785403035
A337_nos_v_2.mp4,-51.28250835895899
A220_ele_v_3.mp4,-52.52115208559334
A438_int_p_3.mp4,-55.355707722611584
A55_sar_p_2.mp4,-58.13113565807612
A437_int_v_2.mp4,-62.79620286565299
A424_bor_v_2.mp4,-55.07000924998677
A405_scha_p_3.mp4,-56.537794603123565
A102_int_v_3.mp4,-56.554312913516355
A200_sha_p_3.mp4,-57.64055816089957
A410_neg_sur_v_3.mp4,-65.0258222940977
A67_sex_p_3.mp4,-57.5090948211448
A303_env_v_2.mp4,-62.85964465057021
A91_neg_sur_v_2.mp4,-52.8698609182421
A405_adm_v_3.mp4,-55.21330088855228
A72_pri_v_3.mp4,-57.07998450770127
A72_emb_p_2.mp4,-46.49467078642326
A437_cont_p_3.mp4,-68.62376843440718
A200_rej_p_2.mp4,-61.42746539111566
A334_fea_v_3.mp4,-62.546108209775596
A221_pos_sur_p_2.mp4,-38.922612301918946
A337_amu_v_2.mp4,-40.6481140196436
A91_adm_v_2.mp4,-49.009886697008554
A437_conc_v_2.mp4,-64.3721348857822
A55_mov_p_3.mp4,-50.37582871389623
A64_disa_p_2.mp4,-46.02069232667815
A435_neu_sit4_p.mp4,-66.6391108800757
A424_sha_v_3.mp4,-67.34452000917113
A227_rej_v_2.mp4,-52.68944022997103
